pid,proc,wake,run,end,wait_time
1,init init,774141,774220,777315,0.079
2,init long_running,777312,777315,779014,0.003
1,init init,777512,779014,780112,1.502
3,init short_running,780112,780112,781616,0.0
1,init init,780306,781616,782781,1.31
2,init long_running,881341,881402,1081751,0.061
3,init short_running,1081725,1081751,1083979,0.026
2,init long_running,1081996,1083979,1086182,1.983
3,init short_running,1084240,1086182,1088356,1.942
2,init long_running,1086416,1088356,1090503,1.94
3,init short_running,1088575,1090503,1092668,1.928
2,init long_running,1090735,1092668,1094812,1.933
3,init short_running,1092886,1094812,1096975,1.926
2,init long_running,1095045,1096975,1099124,1.93
3,init short_running,1097196,1099124,1101555,1.928
2,init long_running,1099378,1101555,1103719,2.177
3,init short_running,1101782,1103719,1105889,1.937
2,init long_running,1103955,1105889,1108257,1.934
3,init short_running,1106159,1108257,1110701,2.098
2,init long_running,1108627,1110701,1112972,2.074
3,init short_running,1111030,1112972,1115138,1.942
2,init long_running,1113209,1115138,1117977,1.929
3,init short_running,1115354,1117977,1120244,2.623
2,init long_running,1118283,1120244,1122398,1.961
3,init short_running,1120463,1122398,1124556,1.935
2,init long_running,1122630,1124556,1126691,1.926
3,init short_running,1124772,1126691,1128851,1.919
2,init long_running,1126924,1128851,1130989,1.927
3,init short_running,1129068,1130989,1134191,1.921
2,init long_running,1131223,1134191,1136602,2.968
3,init short_running,1134658,1136602,1138793,1.944
2,init long_running,1136843,1138793,1140939,1.95
3,init short_running,1139014,1140939,1143116,1.925
2,init long_running,1141177,1143116,1145328,1.939
3,init short_running,1143354,1145328,1147514,1.974
2,init long_running,1145583,1147514,1149653,1.931
3,init short_running,1147734,1149653,1153090,1.919
2,init long_running,1151131,1153090,1155289,1.959
3,init short_running,1153313,1155289,1157469,1.976
2,init long_running,1155523,1157469,1159669,1.946
3,init short_running,1157740,1159669,1161832,1.929
2,init long_running,1159901,1161832,1163975,1.931
3,init short_running,1162050,1163975,1165445,1.925
2,init long_running,1164209,1165866,1221361,1.657
